table / component path                                              src    dst  verdict
--------------------------------------------------------------------------------------------------------------
_components/agent/_storage                                            0      0  OK (ids+content identical)
_components/agent/_tables                                            17     17  OK (ids+content identical)
_components/agent/apiKeys                                             0      0  OK (ids+content identical)
_components/agent/embeddings_1024                                     0      0  OK (ids+content identical)
_components/agent/embeddings_128                                      0      0  OK (ids+content identical)
_components/agent/embeddings_1408                                     0      0  OK (ids+content identical)
_components/agent/embeddings_1536                                     0      0  OK (ids+content identical)
_components/agent/embeddings_2048                                     0      0  OK (ids+content identical)
_components/agent/embeddings_256                                      0      0  OK (ids+content identical)
_components/agent/embeddings_3072                                     0      0  OK (ids+content identical)
_components/agent/embeddings_4096                                     0      0  OK (ids+content identical)
_components/agent/embeddings_512                                      0      0  OK (ids+content identical)
_components/agent/embeddings_768                                      0      0  OK (ids+content identical)
_components/agent/files                                               0      0  OK (ids+content identical)
_components/agent/memories                                            0      0  OK (ids+content identical)
_components/agent/messages                                         2183   2183  OK (ids+content identical)
_components/agent/streamDeltas                                      235    235  OK (ids+content identical)
_components/agent/streamingMessages                                 111    111  OK (ids+content identical)
_components/agent/threads                                           204    204  OK (ids+content identical)
_components/autumn/_storage                                           0      0  OK (ids+content identical)
_components/autumn/_tables                                            1      1  OK (ids+content identical)
_components/autumn/counters                                           0      0  OK (ids+content identical)
_components/betterAuth/_storage                                       0      0  OK (ids+content identical)
_components/betterAuth/_tables                                        6      6  OK (ids+content identical)
_components/betterAuth/account                                       19     19  OK (ids+content identical)
_components/betterAuth/jwks                                           1      1  OK (ids+content identical)
_components/betterAuth/passkey                                        1      1  OK (ids+content identical)
_components/betterAuth/session                                       71     71  OK (ids+content identical)
_components/betterAuth/user                                          17     17  OK (ids+content identical)
_components/betterAuth/verification                                   0      0  OK (ids+content identical)
_components/convexFilesControl/_components/actionRetrier/_storage      0      0  OK (ids+content identical)
_components/convexFilesControl/_components/actionRetrier/_tables      1      1  OK (ids+content identical)
_components/convexFilesControl/_components/actionRetrier/runs         0      0  OK (ids+content identical)
_components/convexFilesControl/_storage                               0      0  OK (ids+content identical)
_components/convexFilesControl/_tables                                4      4  OK (ids+content identical)
_components/convexFilesControl/downloadGrants                         0      0  OK (ids+content identical)
_components/convexFilesControl/fileAccess                             0      0  OK (ids+content identical)
_components/convexFilesControl/files                                  0      0  OK (ids+content identical)
_components/convexFilesControl/pendingUploads                         0      0  OK (ids+content identical)
_components/rateLimiter/_storage                                      0      0  OK (ids+content identical)
_components/rateLimiter/_tables                                       1      1  OK (ids+content identical)
_components/rateLimiter/rateLimits                                    5      5  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/_storage              0      0  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/_tables               7      7  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/globals               1      1  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/internalState         1      1  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/pendingCancelation      0      0  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/pendingCompletion      0      0  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/pendingStart          0      0  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/runStatus             1      1  OK (ids+content identical)
_components/resend/_components/callbackWorkpool/work                  0      0  OK (ids+content identical)
_components/resend/_components/emailWorkpool/_storage                 0      0  OK (ids+content identical)
_components/resend/_components/emailWorkpool/_tables                  7      7  OK (ids+content identical)
_components/resend/_components/emailWorkpool/globals                  1      1  OK (ids+content identical)
_components/resend/_components/emailWorkpool/internalState            1      1  OK (ids+content identical)
_components/resend/_components/emailWorkpool/pendingCancelation       0      0  OK (ids+content identical)
_components/resend/_components/emailWorkpool/pendingCompletion        0      0  OK (ids+content identical)
_components/resend/_components/emailWorkpool/pendingStart             0      0  OK (ids+content identical)
_components/resend/_components/emailWorkpool/runStatus                1      1  OK (ids+content identical)
_components/resend/_components/emailWorkpool/work                     0      0  OK (ids+content identical)
_components/resend/_components/rateLimiter/_storage                   0      0  OK (ids+content identical)
_components/resend/_components/rateLimiter/_tables                    1      1  OK (ids+content identical)
_components/resend/_components/rateLimiter/rateLimits                 1      1  OK (ids+content identical)
_components/resend/_storage                                           0      0  OK (ids+content identical)
_components/resend/_tables                                            5      5  OK (ids+content identical)
_components/resend/content                                           76     76  OK (ids+content identical)
_components/resend/deliveryEvents                                    20     20  OK (ids+content identical)
_components/resend/emails                                            38     38  OK (ids+content identical)
_components/resend/lastOptions                                        1      1  OK (ids+content identical)
_components/resend/nextBatchRun                                       0      0  OK (ids+content identical)
_components/unipile/_storage                                          0      0  OK (ids+content identical)
_components/unipile/_tables                                           0      0  OK (ids+content identical)
_storage                                                              0      0  OK (ids+content identical)
_tables                                                              15     15  OK (ids+content identical)
adminAuditLogs                                                       11     11  OK (ids+content identical)
adminNotificationPreferences                                          2      2  OK (ids+content identical)
adminSettings                                                         0      0  OK (ids+content identical)
emailEvents                                                          20     20  OK (ids+content identical)
fileMetadata                                                          0      0  OK (ids+content identical)
gmailConnections                                                      4      4  OK (ids+content identical)
